0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,5,6,7,0,0,0,0,0,0,0,0,0,0,1,2,3,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,7,0,0
0,0,0,0,0,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,5,6,7,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,14,14,14,13,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,20,21,0,0,0,25,0,0
35,36,37,0,0,0,0,0,0,35,36,37,26,27,0,0,29,30,31,0
39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39
39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39
39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39
39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39
